time;Tac;hs;u;Rg;Ca;Pa
1990-07-01 01:00:00;20.56;57.48;2.53;-0.32;400;101.3
1990-07-01 02:00:00;19.37;61.81;2.24;-0.37;400;101.3
1990-07-01 03:00:00;18.32;66.76;1.94;-0.39;400;101.3
1990-07-01 04:00:00;17.39;70.57;1.63;-0.42;400;101.3
1990-07-01 05:00:00;16.73;74.1;1.45;3;400;101.3
1990-07-01 06:00:00;17.65;72.14;1.48;90.9;400;101.3
1990-07-01 07:00:00;20.42;62.33;1.76;268.55;400;101.3
1990-07-01 08:00:00;23.13;53.62;1.73;457.68;400;101.3
1990-07-01 09:00:00;25.4;47.67;1.9;641.93;400;101.3
1990-07-01 10:00:00;27.28;42.86;1.92;790.83;400;101.3
1990-07-01 11:00:00;29.02;38.57;1.94;898.91;400;101.3
1990-07-01 12:00:00;30.51;34.81;2.04;929.68;400;101.3
1990-07-01 13:00:00;31.84;31.29;2.28;945.7;400;101.3
1990-07-01 14:00:00;32.84;28.95;2.54;895.4;400;101.3
1990-07-01 15:00:00;33.58;27.29;2.74;788.15;400;101.3
1990-07-01 16:00:00;33.89;25.81;2.98;636.97;400;101.3
1990-07-01 17:00:00;33.8;25.71;3.28;459.92;400;101.3
1990-07-01 18:00:00;33.03;26.52;3.34;266.5;400;101.3
1990-07-01 19:00:00;31.42;28.48;3.12;93.19;400;101.3
1990-07-01 20:00:00;28.79;33.95;2.79;4.6;400;101.3
1990-07-01 21:00:00;26.93;39.14;2.76;-0.28;400;101.3
1990-07-01 22:00:00;25.18;44.71;2.6;-0.28;400;101.3
1990-07-01 23:00:00;23.79;49.14;2.8;-0.3;400;101.3
1990-07-02 00:00:00;22.5;52.71;2.83;-0.3;400;101.3
1990-07-02 01:00:00;20.99;56.95;2.31;-0.35;400;101.3
1990-07-02 02:00:00;19.92;59.29;2.09;-0.35;400;101.3
1990-07-02 03:00:00;18.84;62.52;1.68;-0.39;400;101.3
1990-07-02 04:00:00;17.98;65.81;1.45;-0.39;400;101.3
1990-07-02 05:00:00;17.27;69;1.36;2.96;400;101.3
1990-07-02 06:00:00;18.15;67.67;1.4;86.17;400;101.3
1990-07-02 07:00:00;20.81;57.62;1.74;255.13;400;101.3
1990-07-02 08:00:00;23.41;49.81;1.85;447.59;400;101.3
1990-07-02 09:00:00;25.75;44.48;2.03;640.13;400;101.3
1990-07-02 10:00:00;27.58;40.71;2.02;787.59;400;101.3
1990-07-02 11:00:00;29.34;36.43;2.12;897.67;400;101.3
1990-07-02 12:00:00;30.88;32.62;2.23;951.96;400;101.3
1990-07-02 13:00:00;32.11;29.95;2.48;952.38;400;101.3
1990-07-02 14:00:00;32.94;27.1;2.82;885.24;400;101.3
1990-07-02 15:00:00;33.66;25.33;3;786.76;400;101.3
1990-07-02 16:00:00;33.93;24.62;3.26;628.12;400;101.3
1990-07-02 17:00:00;33.68;24.67;3.42;442.78;400;101.3
1990-07-02 18:00:00;33.06;25.29;3.64;269.38;400;101.3
1990-07-02 19:00:00;31.41;27.95;3.54;93;400;101.3
1990-07-02 20:00:00;28.75;34.29;3.29;4.43;400;101.3
1990-07-02 21:00:00;26.6;39.76;3.04;-0.3;400;101.3
1990-07-02 22:00:00;24.93;45.38;2.95;-0.3;400;101.3
1990-07-02 23:00:00;23.46;49.86;2.89;-0.32;400;101.3
1990-07-03 00:00:00;22.04;54.19;2.73;-0.32;400;101.3
1990-07-03 01:00:00;20.72;58.29;2.32;-0.37;400;101.3
